Sentence,polit,
"Federal documents obtained by CNN reveal shortages in the number of case managers needed at six temporary facilities,",2,
"For the children, the reunification process can be dizzying.",2,
"Meybelin's case, according to her family's attorney, has bounced around to different case managers,",2,
 pushing back her release and raising concerns among her family and attorney who say she suffers trauma after being attacked in El Salvador.,2,
"""What's frustrating about this case is there's a natural brother here, there's an attorney who knows what they're doing",2,
"You might expect that if you're calling Amazon about a lost package, but this is a child,"" said Kate Lincoln-Goldfinch",2,
"an immigration attorney based in Texas, referring to Meybelin's older brother.",2,
"Meybelin's parents, Jose and Mirna, spent roughly three weeks fretting over the whereabouts of their 17-year-old daughter who had fled their home country of El Salvador to journey to the US after, they say",2,
CNN is only using their first names due to privacy concerns.,2,
"""It hurt,"" Jose told CNN in Spanish,",2,
"Jose said he called the Office of Refugee Resettlement hotline every day, around the clock",2,
"to try to locate their daughter after she crossed the US-Mexico border. ""We called every day. They said we could call 24 hours,"" he said.",2,
"Nathan Bult, senior vice president of public and government affairs for Bethany Christian Services, which works directly with unaccompanied children",2,
 underscored the role of case managers and the stress they're under. ,2,
"""In Bethany's programs, which are licensed by each state we're in,",2,
our case managers have a caseload set by the license.,2,
"The ratios are meant to keep them from getting overwhelmed. But they're definitely stressed,"" Bult added.",2,
"More than 350 personnel from US Citizenship and Immigration Services, an agency under DHS, are helping with case management.",2,
"The administration, officials told reporters last week, is improving some case management processes and updating policies to quickly unify children with their vetted sponsors. ",2,
"That includes implementing virtual case management, ",2,
"training additional case managers, and expediting the release of children to parents or guardians.",2,
President Joe Biden's two individual meetings with key Senate Democrats on his infrastructure plan,2,
" the first in a series of high stakes meetings at the White House this week -- were productive and revolved around shared goals, according to a White House official.",2,
"Biden hosted Sen. Joe Manchin of West Virginia for nearly an hour and Sen. Tom Carper, who hails from Biden's native Delaware",2,
for even longer in conversations designed to both take the temperature of two key committee chairmen and discuss paths forward on his top agenda item.,2,
"Biden's conversation with Manchin dealt primarily with the need to rebuild key infrastructure nationwide, the official said,",2,
The official said the conversation also had a keen focus on rural communities -- a priority for Manchin.,2,
"Carper, a long-time ally of Biden who -- as chairman of the of the Senate Environment and Works Committee ",2,
" will play a central role in crafting the infrastructure bill, discussed the need for meaningful investment infrastructure.",2,
The meetings with Manchin and Carper come in a crucial week for the White House,2,
with Biden set to meet later this week with the top four congressional leaders and a group of Senate GOP senators on infrastructure.,2,
Biden has made clear both publicly and privately he's genuine in his desire to see if there's a pathway toward a bipartisan agreement on spending for physical infrastructure.,2,
"While he has put a $2.3 trillion infrastructure proposal on the table,",2,
he has said he is open to hearing ideas from Republicans and compromise -- to a point.,2,
Top Biden advisers describe Biden's intent as genuine -- and that he's willing to spend the coming days talking to Republicans to see if there is a pathway forward.,2,
"Manchin, a linchpin moderate for Senate Democrats, has also stated publicly he will not go along with any Democratic efforts to move forward unless there is an effort to find a bipartisan deal.",2,
"The Senate is split evenly with Vice President Kamala Harris positioned as the Democrats' tie-breaking vote,",2,
making Manchin a prominent figure in his party as he could make or break the President's infrastructure goals.,2,
"Speaking to reporters late Monday afternoon, Manchin described the meeting with Biden in positive terms but did not provide specifics of what a total price tag could be for a bipartisan compromise.",2,
"Carper, who hails from Biden's home state of Delaware and is close to the President,",2,
is known for maintaining good relationships with Republicans and is in the midst of bipartisan talks over surface transportation reauthorization bill that may serve as a vehicle for pieces of Biden's infrastructure proposal.,2,
"That has raised the stakes for the next few weeks,",2,
with the White House looking for progress by Memorial Day and more progressive Democrats itching to push forward on Biden's legislative plans as soon as possible.,2,
"A group of Senate Republicans, led by West Virginia Sen. Shelley Moore Capito, sent a $568 billion counter proposal to the White House last month",2,
"and staff-level discussions have been ongoing between the two sides in the days since. Biden and Capito spoke by phone recently, ",2,
and Capito will join a group of Senate Republicans in the Oval Office to meet with Biden on Thursday.,2,
"Federal officials from the US Secret Service have helped recover around $2 billion in fraudulently obtained Covid-19 relief funds and seized more than $640 million from accused fraudsters, the agency said Wednesday.",2,
"One year into the pandemic, the Secret Service has opened 690 cases regarding unemployment insurance fraud, on top of another 720 Economic Injury Disaster Loan and Paycheck Protection Program fraud investigations and inquiries.",2,
"""The amount of unemployment insurance benefits provided in response to the COVID-19 pandemic is unprecedented in the history of the nation's unemployment insurance system,"" said Larry Turner,",2,
the acting inspector general for the Labor Department.,2,
"""Unfortunately, the significant increase in benefits made the program a target for those seeking to defraud government programs.""",2,
"In a recent hearing in front of House lawmakers, Secret Service Director James Murray said the agency's approach to recovering stolen funds has evolved over the last year from stopping scams to building robust prosecutions.",2,
Murray also noted the size of the Covid-relief packages from Congress are extraordinary and the work to root out fraud will continue long after the virus slows.,2,
"""We've probably made more than 120 arrests specific only to Covid fraud,"" Murray said.",2,
"""This is not something that is going to go away. The size of these packages are so notable and the opportunities that exist are going to be persistent",2,
we're going to be addressing Covid fraud for many years to come.",2,
"In March, the Justice Department announced federal investigators identified more than $500 million in fraud and charged 474 people with crimes related to stealing from Covid-relief designated funding.",2,
"Among the top targets by prosecutors were fraudsters trying to steal from the Paycheck Protection Program,",2,
with people running schemes ranging from exaggerating their business expenses to concocting fake companies to get funding. ,2,
"In one Texas case, a man pleaded guilty to seeking $24.8 million in PPP loans using the names of 11 different companies to make loan applications to 11 lenders.",2,
"He managed to obtain $17.3 million in forgivable loans and used the money to buy homes, jewelry and luxury cars.",2,
President Joe Biden's steadfast belief in taxing corporations and the rich has become a central plank in his legislative agenda,2,
even as he's warned of political peril and red lines from Republicans.,2,
"GOP senators, some of whom Biden hosted in the Oval Office on Thursday as he seeks a bipartisan infrastructure deal, have rejected them outright.",2,
"Some Democrats, cognizant of the political backlash past increases have wrought, have quietly warned of their unease.",2,
Top business lobbying groups are already laying the groundwork to attack the proposals and considering the kind of moneyed opposition that simply didn't materialize in Biden's successful $1.9 trillion Covid relief plan.,2,
"But to view those increases through a purely political or even technical policy lens is to miss what animates Biden's attachment to them, close advisers say.",2,
"Biden's calculated decision to spend the past two weeks highlighting those increases in nearly every public appearance,",2,
"in some of the most impassioned and personal terms, reveals his deep-seated belief that they are more than just a way to pay for his $4 trillion legislative agenda.",2,
"According to top advisers, the President's tax proposal is an issue of fairness and Biden is not shy about explaining why it's a necessity in this moment",2,
even if the current political landscape would lead many politicians to reconsider such a plan.,2,
"""Conviction really drives him,"" one of his closest advisers, Mike Donilon, told CNN in an interview",2,
 "It's a core conviction that's reflected in policy choices.",2,
That conviction will be put to the test as the President dives back into bipartisan talks over an infrastructure package he has proposed financing through corporate tax increases.,2,
The six Senate Republicans slated to visit the Oval Office Thursday have each made clear that tax increases are a non-starter.,2,
"Senate Minority Leader Mitch McConnell said after a nearly two-hour Oval Office meeting with Biden that included his House counterparty, Rep. Kevin McCarthy of California.",2,
"""Clearly, Senate Republicans are not interested in revisiting the 2017 tax bill,"" ",2,
"""We both made that clear to the President. That's our red line.""",2,
Biden has made clear he wants to see if there's space for a deal. ,2,
"He's even told advisers he sees benefits for the country for a bipartisan physical infrastructure agreement, ",2,
even one much smaller than the $2.3 trillion he has proposed.,2,
"White House officials and key Democrats in Congress have been exploring different vehicles and pathways to pursue a bipartisan measure, officials say.",2,
Some Democrats have urged the White House to view infrastructure as long-term investment,2,
one that doesn't need to be financed on the front end.,2,
"It's something White House officials say they haven't taken off the table,",2,
though one senior administration official said it's not something Biden personally has warmed to at this point.,2,
"For now, only two red lines have been set.",2,
"""The President's red lines are inaction and are anything that would raise taxes on people making less than $400,000 a year,""",2,
White House press secretary Jen Psaki said this week.,2,
"But if the last several weeks are any indication, the idea that Biden would back off his proposed method for financing that proposal is exceedingly unlikely.",2,
Biden has delved into what he sees as the overarching story of his tax proposals in nearly every public appearance since his prime-time address to a joint session of Congress in increasingly personal and off-the-cuff terms.,2,
He's taken to ad-libbing lines in his prepared remarks to underscore that he's not out to punish the rich but that he instead sees it as necessary to rebalance the current US economic system.,2,
"We're not going to deprive these executives their second or third home, travel privately by jet, Biden told reporters last week. ",2,
It's not going to affect their standard of living at all. Not a little tiny bit.,2,
But I can affect the standard of living that people I grew up with.",2,
He's willing to compromise and pare back the increases for Democrats wary of their scale and Republicans dead set against them entirely.,2,
"But he's taken to turning questions about those potential policy compromises not as a way to lay out red lines for a negotiation,",2,
but instead as another opportunity to delve right back into the story of why he views them as so essential. That's not by accident.,2,
"""He very much believes that you need to give people a window into why you're doing it, a story you can follow to explain why you're going down this road, and repetition,"" Donilon said.",2,
But it's also an issue fraught with political risk.,2,
"A handful of moderate Democrats on Capitol Hill, while broadly supportive of the $4 trillion in infrastructure and economic proposals the President has put on the table, have signaled to leadership",2,
"in some cases, the White House directly -- that they are uncomfortable with the scale of the increases, according to multiple people familiar with the conversations.",2,
Each day that passes is one closer to a midterm election that Democrats enter with the slimmest of majorities in Congress.,2,
Next year's elections could test if the political backlash for tax increases,2,
"and the potent campaign trail issue they have been for Republicans -- still carries weight,",2,
even as the public polling underscores significant support for raising taxes on corporations and the wealthy.,2,
"Republicans have attacked the proposals as designed to stifle economic growth,",2,
all in the name of significantly expanding the range of the social safety net.,2,
"They view any effort to revise the 2017 tax law,",2,
"something many Republicans cite as a cornerstone legislative achievement, as dead in the water.",2,
"A week of poor economic data, most notably a jobs report that significantly undershot economist expectations, only served to harden that opposition.",2,
"In interviews with nearly a dozen GOP members, most argued that they would be unwilling to raise the corporate tax rate even a single point to cover the cost of infrastructure.",2,
"Biden has proposed a seven-point increase, though he has opened the door to a smaller iteration.",2,
"""The problem I have with that is we just think it is one percent incremental revenue,",2,
"but I think we are going to see a contraction of economic activity that will consume most of that,"" said Sen. Thom Tillis, a North Carolina Republican. ",2,
Biden has repeatedly said he doesn't want to add to the deficit.,2,
"But more salient, advisers say, is how he views how the money raised from his proposed tax hikes can be deployed",2,
not just to long overdue investment in physical infrastructure,2,
"but also in his sweeping proposals on child-care, education and paid family leave.",2,
"It's the story Biden and his advisers believe resonates, with on adviser noting Biden's ""keen antenna"" for identifying and honing in on the issues that matter to Americans.",2,
"But when it comes to taxes, it's also one in a candid moment in front of reporters Biden acknowledged isn't an easy sell.",2,
"""I'm going to have to be able to explain this and I'm going to keep banging at it,"" Biden said.",2,
"But it's a story in which the President makes clear he doesn't view the tax increases in isolation,",2,
"as a pure policy play. To Biden, they represent an integral part of a broader, more overarching goal.",2,
"""He has a strong sort of fundamental belief of what's at stake,",2,
"and that these choices we're going to make, they're going to change a lot of people's lives in the long term -- or at least have the potential to,""",2,
The trauma lawmakers experienced on January 6 is rushing back as Democratic members say they are increasingly worried about a handful of Republican colleagues who have sought to downplay the events of that day or continue to tout lies about the election.,2,
"After months of concerns about external security threats,",2,
" the fears and mistrust among Republicans and Democrats inside the Capitol are looming large,",2,
unraveling decorum that had long been a hallmark of Congress and leading members to question the motives of their colleagues.,2,
"One Democratic House member, who asked to remain anonymous to speak freely",2,
grew emotional recalling how the behavior in recent days from Republican colleagues has resurrected a lot of terrible memories of the January attack.,2,
"Asked if they're still concerned for their safety, the member responded: ""It's a complicated question, but the answer is yes.""",2,
Tensions escalated this week after an Oversight Committee hearing in which several Republicans argued that the events of the insurrection had been exaggerated ,2,
"Rep. Andrew Clyde, a freshman Republican from Georgia, compared the insurrection to a ""normal tourist visit.""",2,
"On Wednesday evening, GOP Rep. Marjorie Taylor Greene, also of Georgia, confronted Democratic Rep. Alexandria Ocasio-Cortez of New York. ",2,
"During the incident, first reported by The Washington Post, Greene caught up with Ocasio-Cortez and began shouting at her ",2,
"and asking why she supposedly supports antifa, a far-left activist group,",2,
"and Black Lives Matter, falsely labeling them ""terrorist"" groups.",2,
"The following day, Rep. Jimmy Gomez, a California Democrat, appeared wearing a mask that said simply ""expel MTG,"" arguing leadership needed to bring to the floor his resolution to expel the Georgia congresswoman from Congress because she was ""a threat.""",2,
"Since the attack on the Capitol in January, security protocols inside the building have been expanded.",2,
Members now have to enter the House chamber through metal detectors,2,
" and while large portions of the external fence have come down, there is still increased security protections surrounding the building.",2,
But the repercussions of the fear provoked by the attack can't all be seen. ,2,
"Members say that in the months since January 6, relationships have been fractured and trust broken.",2,
"""Thank God Republicans aren't in charge of security here. Thank God we are in charge of it,"" Rep. Tim Ryan, a Democrat from Ohio, said.",2,
"Back in January, House Speaker Nancy Pelosi said ""the enemy is within,"" ",2,
referencing the rhetoric and behavior of some Republican members of Congress.,2,
"Those tensions, Democrats say, have resurfaced after Republicans ousted Wyoming Rep. Liz Cheney from their leadership ranks for speaking up regularly about the election lies that led to January 6.",2,
"""I am supposed to be bipartisan with a guy who is like, 'na na na na,'"" Democratic Rep. Tom Malinowski of New Jersey said,",2,
"referencing a tweet by GOP Rep. Madison Cawthorn of North Carolina that said continued, ""hey hey, goodbye Liz Cheney.""",2,
"""Then you calm yourself down and say 'that's not all of them,' but they did just get rid of the one leader on their side who actually stood for serious governance and is not a moderate Republican,"" Malinowski said.",2,
"Democratic Rep. Elissa Slotkin, who served three tours in Iraq alongside the US military as a CIA analyst before becoming a member of Congress,",2,
reacted to the growing number of Republican lawmakers downplaying the realities of the violent insurrection on January 6.,2,
"""I'm here to work with serious people. I'm here to work with people who care about their constituents, and who actually do the hard work of banging out legislation,""",2,
the Michigan Democrat said. "Either be here to do work or pipe down.",2,
"The fears and anger have been permeating for months,",2,
but the last several days just underscore the rawness and mistrust that still plague many lawmakers on Capitol Hill in the wake of January 6.,2,
"More than 100 House Republicans voted to overturn the results of the election in key states, ",2,
"including House Minority Leader Kevin McCarthy, who turned heads Wednesday after the vote to oust Cheney when he said,",2,
"""I don't think anybody is questioning the legitimacy of the presidential election.""",2,
As Republicans seek to move on from the insurrection,2,
Democrats say not enough is being done to learn from the cost of some of the mistruths that were promoted.,2,
Some Democrats are blanketly refusing to work closely with Republican colleagues who voted to overturn the election.,2,
"Rep. Madeleine Dean, a Democrat from Pennsylvania, made a decision not to let Republican Rep.",2,
"Buddy Carter, a Georgia Republican, be a lead cosponsor on the prescription drug bill she was sponsoring because he had voted to invalidate the results of the election.",2,
"""We came to a decision in my office that I need to take a stand,"" Dean said. ",2,
"""I will not lift up as a leader someone who did not vote to certify the election when that was connected to an insurrection.""",2,
"Dean said she offered to let him be a cosponsor,but not the lead",2,
"As a result of the move, Republicans sank the bill, but House Majority Leader Steny Hoyer vowed to bring it back up on the floor next week.",2,
"""She wanted me to apologize for objecting to the electoral certification and I made it clear that that was not going to happen,"" Carter told reporters earlier this week. ",2,
" ""There's a lot of good legislation out there that needs to be passed, but we have got to put the past behind us and we've got to move forward and look to the future.""",2,
But what happened between Carter and Dean is not a one-off.,2,
"Republican Rep. Don Bacon, who voted to certify the 2020 presidential election",2,
said he has been fielding calls from Democrats who don't want to work with Republicans who objected to certifying the election.,2,
he Nebraska Republican told CNN when asked if he finds it hard for lawmakers to work together. "I've tried to mediate.",2,
"Even though he thinks this kind of division is ""just not right,"" ",2,
Bacon added that it's gotten so extreme that he knows of certain lawmakers who won't even ride the elevator with their colleagues who voted against certifying the election.,2,
Democrats say they are worried about the lack of professionalism.,2,
"Asked for her reaction to the incident between Greene and Ocasio-Cortez, Pelosi told reporters Thursday, ",2,
"""it's so beyond the pale of anything that is in keeping with bringing honor to the House or not bringing dishonor to the House.""",2,
An active-duty US Marine was arrested Thursday for allegedly participating in the deadly Capitol insurrection and charged with assaulting multiple police officers inside and outside the iconic building during the attack.,2,
"Maj. Christopher Warnagiris, who is stationed at Marine Corps Base Quantico, was arrested in Virginia, according to the Justice Department.",2,
"Warnagiris is charged with assaulting, resisting or impeding officers; ",2,
obstruction of law enforcement during civil disorder; and obstruction of justice; among other charges.,2,
"He is the first active-duty officer to be charged, the Pentagon confirmed.",2,
"Other current or former service members were previously charged in connection with the January 6 attack at the Capitol,",2,
according to a CNN review of court documents and Pentagon records. ,2,
"Earlier this month, federal prosecutors also charged a member of the Wisconsin National Guard with four federal crimes, including violent entry or disorderly conduct.",2,
"The FBI had been seeking Warnagiris' identity, posting his photo among hundreds of others on its website. ",2,
" The Justice Department said in charging documents that a member of the public who worked with Warnagiris in 2019 had identified him to the FBI,",2,
"which led investigators to go to his military command, where they interviewed one of Warnagiris' co-workers, who also said Warnagiris was the man seen in the photos from the FBI's website.",2,
